company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,cash_from_operations_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,roce_percentage,roe_percentage,broad_sector,computed_roce,high_leverage_suppressed
ABB,Dec 2012,8.771929824561402,12.220205686630369,22.411128284389488,0.0,,1.822491730981257,42.0,59.0,101.0,68.0,1657.0,25.0,0.0,9.72,21.69,21.66,11.001849946644048,46.0,34.9,Industrials,36.321483771251934,False
ABB,Mar 2014,8.699472759226714,11.731107205623902,25.12690355329949,0.0,,1.9982440737489024,11.0,144.0,155.0,93.0,1657.0,25.0,0.0,9.72,21.69,21.66,11.941540128758367,46.0,34.9,Industrials,40.10152284263959,False
ABB,Mar 2015,10.004368719965049,13.630406290956751,24.439701173959445,0.0,,1.665938864628821,28.0,187.0,215.0,108.0,1657.0,29.0,0.0,9.72,21.69,21.66,12.036669586184438,46.0,34.9,Industrials,38.4204909284952,False
ABB,Mar 2016,9.755164498852334,13.963274674827849,21.338912133891213,0.0,138.33333333333334,1.6175742574257426,172.0,77.0,249.0,120.0,1657.0,29.0,0.0,9.72,21.69,21.66,10.903883630056429,46.0,34.9,Industrials,34.72803347280335,False
ABB,Mar 2017,9.541853255253187,13.709955218739237,19.971160778658977,0.0,227.5,1.40513068731849,152.0,155.0,307.0,130.0,1657.0,31.0,0.0,9.72,21.69,21.66,10.306048240410218,46.0,34.9,Industrials,32.804614275414565,False
ABB,Mar 2018,12.15888417222559,15.918738629472406,23.685764914353218,0.0,160.5,1.365066225165563,-62.0,215.0,153.0,189.0,1657.0,29.0,0.0,9.72,21.69,21.66,12.403238437248126,46.0,34.9,Industrials,37.92085056113408,False
ABB,Mar 2019,12.231584669747214,16.444686055993476,22.410358565737052,0.0,359.0,1.2509350561033663,242.0,257.0,499.0,212.0,1657.0,31.0,0.0,9.72,21.69,21.66,11.964292763862543,46.0,34.9,Industrials,35.756972111553786,False
ABB,Mar 2020,14.488150500855118,18.49499144881505,24.39325380501851,0.07198683669271905,96.77777777777777,1.153932901043135,225.0,401.0,626.0,279.0,1657.0,90.0,175.0,9.72,21.69,21.66,13.345112402305588,46.0,34.9,Industrials,33.42287029930929,False
ABB,Mar 2021,16.03248259860789,21.392111368909514,26.5564950038432,0.058800922367409685,55.72222222222222,1.1223958333333333,655.0,72.0,727.0,325.0,1657.0,85.0,153.0,9.72,21.69,21.66,14.570457811928142,46.0,34.9,Industrials,36.40653357531761,False
ABB,Mar 2022,16.26297577854671,22.023203745165887,28.333333333333332,0.05390070921985816,61.31578947368421,1.1631155303030303,552.0,396.0,948.0,376.0,1657.0,73.0,152.0,9.72,21.69,21.66,15.253141547394359,46.0,34.9,Industrials,39.19919246298789,False
ABB,Mar 2023,17.74163395027108,22.546270330902974,29.767879548306148,0.03544542032622334,85.0,1.1740561896400352,745.0,148.0,893.0,447.0,1657.0,73.0,113.0,9.72,21.69,21.66,16.22785656273909,46.0,34.9,Industrials,41.19963647379582,False
