company_id,sales_cagr,profit_cagr
ABB,11.11,19.27
ADANIENSOL,,
ADANIENT,6.88,9.59
ADANIGREEN,51.56,
ADANIPORTS,20.05,15.64
ADANIPOWER,20.14,
AMBUJACEM,10.74,11.44
APOLLOHOSP,15.87,10.79
ASIANPAINT,11.71,15.31
ATGL,21.75,26.63
AXISBANK,13.49,15.33
BAJAJ-AUTO,7.61,8.53
BAJAJFINSV,26.87,19.42
BAJAJHLDNG,15.86,13.35
BAJFINANCE,29.43,36.17
BANKBARODA,11.31,13.19
BEL,11.25,14.36
BHARTIARTL,6.26,12.84
BHEL,-6.3,-25.02
BOSCHLTD,5.64,8.29
BPCL,5.75,27.01
BRITANNIA,9.49,21.09
CANBK,11.29,16.05
CHOLAFIN,20.04,24.46
CIPLA,10.88,9.41
COALINDIA,6.9,7.22
DABUR,6.6,8.14
DIVISLAB,12.51,9.29
DLF,-1.71,13.65
DMART,28.07,34.93
DRREDDY,8.15,12.5
EICHERMOT,8.25,19.43
GAIL,9.13,7.73
GODREJCP,7.42,
GRASIM,15.09,9.18
HAL,7.07,8.82
HAVELLS,9.1,7.38
HCLTECH,14.17,13.14
HDFCBANK,20.68,22.69
HDFCLIFE,19.68,12.12
HEROMOTOCO,4.1,5.94
HINDALCO,9.42,11.7
HINDUNILVR,7.83,9.37
ICICIBANK,12.22,14.77
ICICIGI,15.98,16.64
ICICIPRULI,14.67,-5.11
INDIGO,20.08,23.7
INDUSINDBK,18.63,21.39
INFY,12.93,9.75
IOC,4.84,25.25
IRCTC,16.76,26.81
IRFC,15.33,25.61
ITC,7.61,9.43
JINDALSTEL,8.85,6.57
JIOFIN,4022.22,5077.42
JSWENERGY,2.38,6.08
JSWSTEEL,14.84,22.9
KOTAKBANK,16.15,21.0
LICI,8.16,73.18
LODHA,12.73,14.61
LT,10.41,10.29
LTIM,22.38,21.02
M&M,6.62,10.41
MARUTI,11.16,16.69
MOTHERSON,13.17,18.85
NAUKRI,16.52,20.57
NESTLEIND,9.38,12.12
NHPC,3.81,3.12
NTPC,8.67,4.91
ONGC,12.49,8.2
PFC,16.34,17.62
PIDILITIND,11.67,13.74
PNB,8.81,5.62
POWERGRID,12.08,12.38
RECLTD,12.02,12.6
RELIANCE,7.74,12.86
SBILIFE,21.96,10.52
SBIN,9.13,12.76
SHREECEM,12.87,5.09
SHRIRAMFIN,16.15,15.88
SIEMENS,4.89,9.18
SUNPHARMA,14.32,9.71
TATACONSUM,6.83,9.56
TATAMOTORS,7.95,11.12
TATAPOWER,5.76,38.08
TATASTEEL,4.95,
TCS,12.97,11.39
TECHM,20.2,5.67
TITAN,15.85,15.38
TORNTPHARM,11.62,12.92
TRENT,17.34,
TVSMOTOR,16.19,22.09
ULTRACEMCO,11.94,9.1
UNIONBANK,13.4,18.43
UNITDSPR,0.79,
VBL,22.0,49.61
VEDL,43.29,11.48
WIPRO,8.28,5.48
ZOMATO,72.11,
ZYDUSLIFE,10.75,17.25
