company_id,sales,net_profit,eps,opm_percentage,net_profit_margin,borrowings,total_assets,debt_ratio,asset_turnover
LODHA,10316,1554,16.0,26.0,15.063978286157425,7990,47385,16.86187612113538,0.2177060251134325
M&M,139078,12270,91.0,18.0,8.82238743726542,116844,255280,45.77091820745848,0.5448057035412096
LT,221113,15547,95.0,14.0,7.031246466738726,2326,28761,8.087340495810299,7.68794548172873
TATAPOWER,61449,4280,12.0,17.0,6.965125551270159,58314,145130,40.18052780265968,0.42340660097843313
ONGC,591396,57101,39.0,17.0,9.655290194725701,191489,757614,25.27527210426418,0.7806033151446515
PIDILITIND,12383,1747,34.0,22.0,14.108051360736493,379,12755,2.9713837710701685,0.9708349666797335
LTIM,35517,4585,155.0,18.0,12.90931103415266,2326,28761,8.087340495810299,1.2349014290184626
MARUTI,141858,13488,429.0,13.0,9.50809964894472,158,121696,0.12983171180646857,1.1656751249013937
MOTHERSON,98692,3020,4.0,9.0,3.0600251286831757,25417,97879,25.96777654042236,1.0083061739494683
TCS,240893,46099,127.0,27.0,19.136712150207767,9046,161124,5.614309475931581,1.4950783247685013
TATASTEEL,229171,-4910,-4.0,10.0,-2.1425049417247384,99392,280841,35.39084392948323,0.8160168921204525
SHRIRAMFIN,36388,7399,39.0,29.0,20.333626470264925,207820,275087,75.54700876449996,0.13227815200282092
SIEMENS,22240,2718,76.0,14.0,12.221223021582734,279,25299,1.1028103877623623,0.8790861298865568
TATACONSUM,15206,1215,12.0,15.0,7.9902669998684726,2955,30970,9.541491766225379,0.49099128188569585
SUNPHARMA,48497,9610,40.0,28.0,19.815658700538176,2572,88116,2.9188796586318033,0.5503767760679105
ZYDUSLIFE,19547,3973,38.0,28.0,20.32536962193687,190,31446,0.6042103924187495,0.6216052916110157
INDIGO,68904,8167,212.0,16331.0,11.852722628584697,20,1239,1.6142050040355123,55.61259079903148
ADANIENSOL,16607,1196,10.0,30.0,7.201782380923707,39009,69107,56.447248469764276,0.24030850709768908
ABB,5849,1201,565.0,25.0,20.533424517011454,60,5063,1.1850681414181317,1.1552439265257752
TATAMOTORS,437928,31807,94.0,14.0,7.263066074788551,106549,390656,27.274379505242464,1.1210067169069462
SBILIFE,131988,1894,19.0,0.0,1.4349789374791648,0,448497,0.0,0.29428959391032716
SHREECEM,20521,1733,480.0,22.0,8.445007553238145,1682,27859,6.037546214867727,0.7366021752395994
PFC,91508,26461,60.0,37.0,28.916597455960137,910447,1103361,82.5157858579377,0.08293568469431128
NHPC,9632,4028,4.0,50.0,41.81893687707641,34210,97681,35.022163982760205,0.09860668912070925
NTPC,178501,21332,21.0,29.0,11.950633329785267,242009,492230,49.16583710866871,0.36263738496231435
NESTLEIND,24394,3933,41.0,24.0,16.12281708616873,370,11108,3.330932661145121,2.196074900972272
NAUKRI,2536,595,44.0,28.0,23.462145110410095,256,50186,0.5101024190013151,0.05053202088231778
EICHERMOT,16536,4001,146.0,26.0,24.195694242864054,404,24380,1.6570959803117309,0.6782608695652174
GAIL,133228,9903,15.0,11.0,7.433122166511544,19632,128989,15.21990247230384,1.0328632674103992
GRASIM,130978,9926,85.0,21.0,7.578371940325857,158159,448454,35.26760827197438,0.2920656299196796
GODREJCP,14096,-561,-5.0,21.0,-3.9798524404086266,3828,18984,20.16434892541087,0.7425200168563001
HAVELLS,18590,1271,20.0,10.0,6.837009144701453,332,12843,2.5850657945962783,1.4474811181188196
HCLTECH,109913,15710,58.0,22.0,14.293122742532729,5791,99763,5.804757274741137,1.1017411264697332
HAL,30381,7595,114.0,32.0,24.999177117277245,124,476,26.05042016806723,63.825630252100844
TVSMOTOR,39145,1779,36.0,14.0,4.544641716694342,14619,44946,32.52569750367107,0.8709340097005295
TORNTPHARM,10728,1656,49.0,31.0,15.436241610738255,3128,15088,20.73170731707317,0.7110286320254506
TRENT,12375,1477,42.0,16.0,11.935353535353535,1842,8274,22.262509064539522,1.4956490210297317
ICICIBANK,159516,46081,63.0,-14152.0,28.888011233982798,1651008,2364063,69.83773275077695,0.06747535915921023
HINDUNILVR,61896,10282,44.0,14659.0,16.611735814915342,1651,80765,2.044202315359376,0.7663715718442394
HEROMOTOCO,37789,3742,187.0,5235.0,9.902352536452407,588,29261,2.009500700591231,1.2914459519496941
HINDALCO,215962,10155,45.0,23872.0,4.702216130615571,60959,252264,24.164763898138457,0.856095201852028
HDFCLIFE,101482,1574,7.0,531.0,1.5510139729213062,950,336755,0.2821042003830678,0.3013526154028893
HDFCBANK,283649,65446,84.0,-44685.0,23.07288232992184,3107503,4030194,77.10554380260602,0.07038097917866981
ITC,70866,20751,16.0,37.0,29.282025230717128,304,94071,0.3231601662574013,0.7533246165130593
JINDALSTEL,50354,5943,58.0,20.0,11.802438733764944,17266,82771,20.859963030530015,0.6083531671720772
JSWENERGY,11486,1725,10.0,47.0,15.018283127285393,30853,64932,47.51586274872174,0.17689274933776875
JIOFIN,1855,1605,3.0,84.0,86.52291105121293,0,144222,0.0,0.01286211534994661
KOTAKBANK,56237,18213,92.0,-13382.0,32.386151466116615,520374,767667,67.78642301935605,0.07325702420450533
LICI,845966,40916,66.0,4.0,4.836600998148862,10,5719121,0.00017485204457118496,0.14791888473770706
JSWSTEEL,175006,8973,36.0,16.0,5.127252779904689,95258,233168,40.85380498181569,0.7505575379125781
TECHM,51996,2397,24.0,9.0,4.60996999769213,2035,42827,4.751675344992645,1.2140939127186121
IOC,776352,43161,30.0,10.0,5.559462717942377,163401,510310,32.019948658658464,1.5213340910426996
IRCTC,4270,1111,14.0,34.0,26.01873536299766,42,6800,0.6176470588235293,0.6279411764705882
IRFC,26645,6412,5.0,100.0,24.064552448864703,403111,494348,81.54397307160139,0.05389927743209237
TITAN,51084,3496,39.0,10.0,6.843630099444054,21648,38826,55.75645186215422,1.3157162726008345
INDUSINDBK,45748,8950,115.0,2978.0,19.56369677362945,432404,514935,83.97254022352337,0.08884228106460039
INFY,153670,26248,63.0,24.0,17.08075746730006,8804,141870,6.205681257489251,1.0831747374356806
ICICIPRULI,90307,851,6.0,-1829.0,0.942341125272681,0,326838,0.0,0.2763050808045576
ICICIGI,20487,1919,39.0,2577.0,9.366915605017816,0,68014,0.0,0.30121739641838446
PNB,109065,9157,8.0,,8.395910695456838,55017,72371,76.02078180486659,1.5070262950629396
POWERGRID,45843,15573,17.0,87.0,33.97028990249329,122568,255297,48.009964864451995,0.17956732746565765
